NIVEL;DESCRIÇÃO ITEM;QUANTIDADE ITEM;COMPRIMENTO;PESO ITEM;CÓDICO ITEM;PROCESSOS;MASCARA ENTRADA;MASCARA SAÍDA;NATUREZA;HASH;LARGURA
94.4.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,58;;1;1010030005;;;;;;
94.5;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 271MM";3;27,1 CM;0,60162 KG;;CS;301028;301028;3;NEO202601288b37;3,81 CM
94.5.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,27;;1;1010030005;;;;;;
94.6;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 331MM";3;33,1 CM;0,73482 KG;;CS;301028;301028;3;NEO20260128d099;3,81 CM
94.6.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,33;;1;1010030005;;;;;;
95;PAINEL LAJE-L-40X126;1;;9;;S;301009;301009;3;NEO20260128cbf3;
95.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 380MM";2;38 CM;1,0336 KG;3010010046;;;;;;
95.1.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,38;;1;1010020001;;;;;;
95.2;BARRA CHATA DE ALUMINIO LISA C/ ENCAIXE X 1260MM;2;126 CM;3,4272 KG;;CS F;301001;301001;3;NEO202601286841;5,48 CM
95.2.1;BARRA CHATA DE ALUMÍNIO LISA C/ ENCAIXE 6000MM;1,26;;1;1010020004;;;;;;
95.3;CHAPA DE ALUMINIO 5052 H34  #4,00MM 390 X 1260MM;1;126 CM;5,30712 KG;;CG C;301014;301014;3;NEO20260128f365;39 CM
95.3.1;CHAPA DE ALUMÍNIO 5052 H34 1500 X 3000 #4,00MM;1,26;;1;1010010004;;;;;;
95.4;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 380MM";3;38 CM;0,8436 KG;;CS;301028;301028;3;NEO20260128d9f9;3,81 CM
95.4.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,38;;1;1010030005;;;;;;
95.5;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 271MM";1;27,1 CM;0,20054 KG;;CS;301028;301028;3;NEO202601288b37;3,81 CM
95.5.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,27;;1;1010030005;;;;;;
95.6;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 331MM";1;33,1 CM;0,24494 KG;;CS;301028;301028;3;NEO20260128d099;3,81 CM
95.6.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,33;;1;1010030005;;;;;;
96;PAINEL LAJE-L-60X120;25;;353;3010090002;;;;;;
96.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 580MM";50;58 CM;39,44 KG;3010120001;;;;;;
96.1.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,58;;1;1010020001;;;;;;
96.2;BARRA CHATA DE ALUMINIO LISA C/ ENCAIXE X 1200MM;50;120 CM;81,6 KG;;CS F;301001;301001;3;NEO20260128a86f;5,48 CM
96.2.1;BARRA CHATA DE ALUMÍNIO LISA C/ ENCAIXE 6000MM;1,2;;1;1010020004;;;;;;
96.3;CHAPA DE ALUMINIO 5052 H34  #4,00MM 590 X 1200MM;25;120 CM;191,16 KG;;CG C;301014;301014;3;NEO2026012846d3;59 CM
96.3.1;CHAPA DE ALUMÍNIO 5052 H34 1500 X 3000 #4,00MM;1,2;;1;1010010004;;;;;;
96.4;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 580MM";75;58 CM;32,19 KG;;CS;301028;301028;3;NEO202601283535;3,81 CM
96.4.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,58;;1;1010030005;;;;;;
96.5;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 271MM";25;27,1 CM;5,0135 KG;;CS;301028;301028;3;NEO202601288b37;3,81 CM
96.5.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,27;;1;1010030005;;;;;;
96.6;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 271MM";25;27,1 CM;5,0135 KG;;CS;301028;301028;3;NEO202601288b37;3,81 CM
96.6.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,27;;1;1010030005;;;;;;
97;PAINEL LAJE-L-50X120;1;;11;3010090060;;;;;;
97.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 480MM";2;48 CM;1,3056 KG;3010010032;;;;;;
97.1.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,48;;1;1010020001;;;;;;
97.2;BARRA CHATA DE ALUMINIO LISA C/ ENCAIXE X 1200MM;2;120 CM;3,264 KG;;CS F;301001;301001;3;NEO20260128a86f;5,48 CM
97.2.1;BARRA CHATA DE ALUMÍNIO LISA C/ ENCAIXE 6000MM;1,2;;1;1010020004;;;;;;
97.3;CHAPA DE ALUMINIO 5052 H34  #4,00MM 490 X 1200MM;1;120 CM;6,3504 KG;;CG C;301014;301014;3;NEO202601284f09;49 CM
97.3.1;CHAPA DE ALUMÍNIO 5052 H34 1500 X 3000 #4,00MM;1,2;;1;1010010004;;;;;;
97.4;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 480MM";3;48 CM;1,0656 KG;;CS;301028;301028;3;NEO202601280537;3,81 CM
97.4.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,48;;1;1010030005;;;;;;
97.5;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 271MM";1;27,1 CM;0,20054 KG;;CS;301028;301028;3;NEO202601288b37;3,81 CM
97.5.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,27;;1;1010030005;;;;;;
97.6;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 271MM";1;27,1 CM;0,20054 KG;;CS;301028;301028;3;NEO202601288b37;3,81 CM
97.6.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,27;;1;1010030005;;;;;;
98;PAINEL LAJE-L-42X120;5;;53;3010090043;;;;;;
98.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 400MM";10;40 CM;5,44 KG;3010010571;;;;;;
98.1.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,4;;1;1010020001;;;;;;
98.2;BARRA CHATA DE ALUMINIO LISA C/ ENCAIXE X 1200MM;10;120 CM;16,32 KG;;CS F;301001;301001;3;NEO20260128a86f;5,48 CM
98.2.1;BARRA CHATA DE ALUMÍNIO LISA C/ ENCAIXE 6000MM;1,2;;1;1010020004;;;;;;
98.3;CHAPA DE ALUMINIO 5052 H34  #4,00MM 410 X 1200MM;5;120 CM;26,568 KG;;CG C;301014;301014;3;NEO202601287181;41 CM
98.3.1;CHAPA DE ALUMÍNIO 5052 H34 1500 X 3000 #4,00MM;1,2;;1;1010010004;;;;;;
98.4;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 400MM";15;40 CM;4,44 KG;;CS;301028;301028;3;NEO20260128049f;3,81 CM
98.4.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,4;;1;1010030005;;;;;;
98.5;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 271MM";5;27,1 CM;1,0027 KG;;CS;301028;301028;3;NEO202601288b37;3,81 CM
98.5.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,27;;1;1010030005;;;;;;
98.6;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 271MM";5;27,1 CM;1,0027 KG;;CS;301028;301028;3;NEO202601288b37;3,81 CM
98.6.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,27;;1;1010030005;;;;;;
99;PAINEL LAJE-L-40X120;13;;134;3010090080;;;;;;
99.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 380MM";26;38 CM;13,4368 KG;3010010046;;;;;;
99.1.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,38;;1;1010020001;;;;;;
99.2;BARRA CHATA DE ALUMINIO LISA C/ ENCAIXE X 1200MM;26;120 CM;42,432 KG;;CS F;301001;301001;3;NEO20260128a86f;5,48 CM
99.2.1;BARRA CHATA DE ALUMÍNIO LISA C/ ENCAIXE 6000MM;1,2;;1;1010020004;;;;;;
99.3;CHAPA DE ALUMINIO 5052 H34  #4,00MM 390 X 1200MM;13;120 CM;65,7072 KG;;CG C;301014;301014;3;NEO20260128acce;39 CM
99.3.1;CHAPA DE ALUMÍNIO 5052 H34 1500 X 3000 #4,00MM;1,2;;1;1010010004;;;;;;
99.4;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 380MM";39;38 CM;10,9668 KG;;CS;301028;301028;3;NEO20260128d9f9;3,81 CM
99.4.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,38;;1;1010030005;;;;;;
99.5;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 271MM";13;27,1 CM;2,60702 KG;;CS;301028;301028;3;NEO202601288b37;3,81 CM
99.5.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,27;;1;1010030005;;;;;;
99.6;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 271MM";13;27,1 CM;2,60702 KG;;CS;301028;301028;3;NEO202601288b37;3,81 CM
99.6.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,27;;1;1010030005;;;;;;
100;PAINEL LAJE-L-90X95;1;;14;;S;301009;301009;3;NEO20260128f52e;
100.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 880MM";2;88 CM;2,3936 KG;3010010223;;;;;;
100.1.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,88;;1;1010020001;;;;;;
100.2;BARRA CHATA DE ALUMINIO LISA C/ ENCAIXE X 950MM;2;95 CM;2,584 KG;;CS F;301001;301001;3;NEO202601285637;5,48 CM
100.2.1;BARRA CHATA DE ALUMÍNIO LISA C/ ENCAIXE 6000MM;0,95;;1;1010020004;;;;;;
100.3;CHAPA DE ALUMINIO 5052 H34  #4,00MM 890 X 950MM;1;95 CM;9,1314 KG;;CG C;301014;301014;3;NEO202601289989;89 CM
100.3.1;CHAPA DE ALUMÍNIO 5052 H34 1500 X 3000 #4,00MM;0,95;;1;1010010004;;;;;;
100.4;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 880MM";2;88 CM;1,3024 KG;;CS;301028;301028;3;NEO20260128b200;3,81 CM
100.4.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,88;;1;1010030005;;;;;;
100.5;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 271MM";2;27,1 CM;0,40108 KG;;CS;301028;301028;3;NEO202601288b37;3,81 CM
100.5.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,27;;1;1010030005;;;;;;
100.6;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 321MM";2;32,1 CM;0,47508 KG;;CS;301028;301028;3;NEO202601284556;3,81 CM
100.6.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,32;;1;1010030005;;;;;;
101;PAINEL LAJE-L-20X90;10;;48;3010090006;;;;;;
101.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 180MM";20;18 CM;4,896 KG;3010010022;;;;;;
101.1.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,18;;1;1010020001;;;;;;
101.2;BARRA CHATA DE ALUMINIO LISA C/ ENCAIXE X 900MM;20;90 CM;24,48 KG;;S;301010;301010;3;NEO20260128836a;5,48 CM
101.2.1;BARRA CHATA DE ALUMÍNIO LISA C/ ENCAIXE 6000MM;0,9;;1;1010020004;;;;;;
101.3;CHAPA DE ALUMINIO 5052 H34  #4,00MM 190 X 900MM;10;90 CM;18,468 KG;;CG C;301014;301014;3;NEO20260128df67;19 CM
101.3.1;CHAPA DE ALUMÍNIO 5052 H34 1500 X 3000 #4,00MM;0,9;;1;1010010004;;;;;;
101.4;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 180MM";20;18 CM;2,664 KG;;CS;301028;301028;3;NEO20260128c38a;3,81 CM
101.4.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,18;;1;1010030005;;;;;;
102;PAINEL LAJE-L-120X74;1;;14;;S;301009;301009;3;NEO202601280b8c;
102.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 1180MM";2;118 CM;3,2096 KG;3010010210;;;;;;
102.1.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";1,18;;1;1010020001;;;;;;
102.2;BARRA CHATA DE ALUMINIO LISA C/ ENCAIXE X 740MM;2;74 CM;2,0128 KG;;S;301010;301010;3;NEO202601285951;5,48 CM
102.2.1;BARRA CHATA DE ALUMÍNIO LISA C/ ENCAIXE 6000MM;0,74;;1;1010020004;;;;;;
102.3;CHAPA DE ALUMINIO 5052 H34  #4,00MM 1190 X 740MM;1;74 CM;9,51048 KG;;CG C;301014;301014;3;NEO202601286139;119 CM
102.3.1;CHAPA DE ALUMÍNIO 5052 H34 1500 X 3000 #4,00MM;0,74;;1;1010010004;;;;;;
102.4;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 1180MM";1;118 CM;0,8732 KG;;CS;301028;301028;3;NEO20260128a356;3,81 CM
102.4.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";1,18;;1;1010030005;;;;;;
102.5;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 271MM";3;27,1 CM;0,60162 KG;;CS;301028;301028;3;NEO202601288b37;3,81 CM
102.5.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,27;;1;1010030005;;;;;;
102.6;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 411MM";3;41,1 CM;0,91242 KG;;CS;301028;301028;3;NEO202601285fe2;3,81 CM
102.6.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,41;;1;1010030005;;;;;;
103;PAINEL LAJE-L-102X74;1;;12;;S;301009;301009;3;NEO20260128bec1;
103.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 1000MM";2;100 CM;2,72 KG;3010010091;;;;;;
103.1.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";1;;1;1010020001;;;;;;
103.2;BARRA CHATA DE ALUMINIO LISA C/ ENCAIXE X 740MM;2;74 CM;2,0128 KG;;S;301010;301010;3;NEO202601285951;5,48 CM
103.2.1;BARRA CHATA DE ALUMÍNIO LISA C/ ENCAIXE 6000MM;0,74;;1;1010020004;;;;;;
103.3;CHAPA DE ALUMINIO 5052 H34  #4,00MM 1010 X 740MM;1;74 CM;8,07192 KG;;CG C;301014;301014;3;NEO20260128e345;101 CM
103.3.1;CHAPA DE ALUMÍNIO 5052 H34 1500 X 3000 #4,00MM;0,74;;1;1010010004;;;;;;
103.4;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 1000MM";1;100 CM;0,74 KG;;CS;301028;301028;3;NEO202601286bc6;3,81 CM
103.4.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";1;;1;1010030005;;;;;;
103.5;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 271MM";2;27,1 CM;0,40108 KG;;CS;301028;301028;3;NEO202601288b37;3,81 CM
103.5.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,27;;1;1010030005;;;;;;
103.6;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 411MM";2;41,1 CM;0,60828 KG;;CS;301028;301028;3;NEO202601285fe2;3,81 CM
103.6.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,41;;1;1010030005;;;;;;
104;PAINEL LAJE-L-62X72;1;;6;;S;301009;301009;3;NEO202601287e05;
104.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 600MM";2;60 CM;1,632 KG;3010010556;;;;;;
104.1.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,6;;1;1010020001;;;;;;
104.2;BARRA CHATA DE ALUMINIO LISA C/ ENCAIXE X 720MM;2;72 CM;1,9584 KG;;CS F;301001;301001;3;NEO202601283855;5,48 CM
104.2.1;BARRA CHATA DE ALUMÍNIO LISA C/ ENCAIXE 6000MM;0,72;;1;1010020004;;;;;;
104.3;CHAPA DE ALUMINIO 5052 H34  #4,00MM 610 X 720MM;1;72 CM;4,74336 KG;;CG C;301014;301014;3;NEO20260128cc37;61 CM
104.3.1;CHAPA DE ALUMÍNIO 5052 H34 1500 X 3000 #4,00MM;0,72;;1;1010010004;;;;;;
104.4;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 600MM";1;60 CM;0,444 KG;;CS;301028;301028;3;NEO2026012808f5;3,81 CM
104.4.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,6;;1;1010030005;;;;;;
104.5;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 271MM";1;27,1 CM;0,20054 KG;;CS;301028;301028;3;NEO202601288b37;3,81 CM
104.5.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,27;;1;1010030005;;;;;;
104.6;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 391MM";1;39,1 CM;0,28934 KG;;CS;301028;301028;3;NEO202601287128;3,81 CM
104.6.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,39;;1;1010030005;;;;;;
105;PAINEL LAJE-L-71X62;1;;6;;S;301009;301009;3;NEO2026012873e6;
105.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 690MM";2;69 CM;1,8768 KG;3010010112;;;;;;
105.1.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,69;;1;1010020001;;;;;;
105.2;BARRA CHATA DE ALUMINIO LISA C/ ENCAIXE X 620MM;2;62 CM;1,6864 KG;;CS F;301001;301001;3;NEO202601286a72;5,48 CM
105.2.1;BARRA CHATA DE ALUMÍNIO LISA C/ ENCAIXE 6000MM;0,62;;1;1010020004;;;;;;
105.3;CHAPA DE ALUMINIO 5052 H34  #4,00MM 700 X 620MM;1;62 CM;4,6872 KG;;CG C;301014;301014;3;NEO202601282fde;70 CM
105.3.1;CHAPA DE ALUMÍNIO 5052 H34 1500 X 3000 #4,00MM;0,62;;1;1010010004;;;;;;
105.4;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 690MM";1;69 CM;0,5106 KG;;CS;301028;301028;3;NEO2026012887cd;3,81 CM
105.4.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,69;;1;1010030005;;;;;;
105.5;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 271MM";2;27,1 CM;0,40108 KG;;CS;301028;301028;3;NEO202601288b37;3,81 CM
105.5.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,27;;1;1010030005;;;;;;
105.6;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 291MM";2;29,1 CM;0,43068 KG;;CS;301028;301028;3;NEO20260128a4a1;3,81 CM
105.6.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,29;;1;1010030005;;;;;;
106;PAINEL LAJE-L-106X60;1;;9;;S;301009;301009;3;NEO20260128dd9b;
106.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 1040MM";2;104 CM;2,8288 KG;3010012978;;;;;;
106.1.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";1,04;;1;1010020001;;;;;;
106.2;BARRA CHATA DE ALUMINIO LISA C/ ENCAIXE X 600MM;2;60 CM;1,632 KG;;CS F;301001;301001;3;NEO20260128a517;5,48 CM
106.2.1;BARRA CHATA DE ALUMÍNIO LISA C/ ENCAIXE 6000MM;0,6;;1;1010020004;;;;;;
106.3;CHAPA DE ALUMINIO 5052 H34  #4,00MM 1050 X 600MM;1;60 CM;6,804 KG;;CG C;301014;301014;3;NEO20260128fcc7;105 CM
106.3.1;CHAPA DE ALUMÍNIO 5052 H34 1500 X 3000 #4,00MM;0,6;;1;1010010004;;;;;;
106.4;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 1040MM";1;104 CM;0,7696 KG;;CS;301028;301028;3;NEO20260128303e;3,81 CM
106.4.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";1,04;;1;1010030005;;;;;;
106.5;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 271MM";2;27,1 CM;0,40108 KG;;CS;301028;301028;3;NEO202601288b37;3,81 CM
106.5.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,27;;1;1010030005;;;;;;
106.6;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 271MM";2;27,1 CM;0,40108 KG;;CS;301028;301028;3;NEO202601288b37;3,81 CM
106.6.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,27;;1;1010030005;;;;;;
107;PAINEL LAJE-L-116X59;1;;11;;S;301009;301009;3;NEO202601283cb7;
107.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 1140MM";2;114 CM;3,1008 KG;3010012997;;;;;;
107.1.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";1,14;;1;1010020001;;;;;;
107.2;BARRA CHATA DE ALUMINIO LISA C/ ENCAIXE X 590MM;2;59 CM;1,6048 KG;;CS F;301001;301001;3;NEO202601283ef0;5,48 CM
107.2.1;BARRA CHATA DE ALUMÍNIO LISA C/ ENCAIXE 6000MM;0,59;;1;1010020004;;;;;;
107.3;CHAPA DE ALUMINIO 5052 H34  #4,00MM 1150 X 590MM;1;59 CM;7,3278 KG;;CG C;301014;301014;3;NEO20260128f373;115 CM
107.3.1;CHAPA DE ALUMÍNIO 5052 H34 1500 X 3000 #4,00MM;0,59;;1;1010010004;;;;;;
107.4;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 1140MM";1;114 CM;0,8436 KG;;CS;301028;301028;3;NEO202601286fa3;3,81 CM
107.4.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";1,14;;1;1010030005;;;;;;
107.5;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 271MM";2;27,1 CM;0,40108 KG;;CS;301028;301028;3;NEO202601288b37;3,81 CM
107.5.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,27;;1;1010030005;;;;;;
107.6;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 261MM";2;26,1 CM;0,38628 KG;;CS;301028;301028;3;NEO20260128fd7f;3,81 CM
107.6.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,26;;1;1010030005;;;;;;
108;PAINEL LAJE-L-106X59;1;;9;;S;301009;301009;3;NEO202601280282;
108.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 1040MM";2;104 CM;2,8288 KG;3010012978;;;;;;
108.1.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";1,04;;1;1010020001;;;;;;
108.2;BARRA CHATA DE ALUMINIO LISA C/ ENCAIXE X 590MM;2;59 CM;1,6048 KG;;CS F;301001;301001;3;NEO202601283ef0;5,48 CM
108.2.1;BARRA CHATA DE ALUMÍNIO LISA C/ ENCAIXE 6000MM;0,59;;1;1010020004;;;;;;
108.3;CHAPA DE ALUMINIO 5052 H34  #4,00MM 1050 X 590MM;1;59 CM;6,6906 KG;;CG C;301014;301014;3;NEO20260128b62c;105 CM
108.3.1;CHAPA DE ALUMÍNIO 5052 H34 1500 X 3000 #4,00MM;0,59;;1;1010010004;;;;;;
108.4;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 1040MM";1;104 CM;0,7696 KG;;CS;301028;301028;3;NEO20260128303e;3,81 CM
108.4.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";1,04;;1;1010030005;;;;;;
108.5;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 271MM";2;27,1 CM;0,40108 KG;;CS;301028;301028;3;NEO202601288b37;3,81 CM
108.5.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,27;;1;1010030005;;;;;;
108.6;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 261MM";2;26,1 CM;0,38628 KG;;CS;301028;301028;3;NEO20260128fd7f;3,81 CM
108.6.1;"PERFIL DE ALUMÍNIO ""U"" 1 1/2"" X 1/8"" X 6000MM";0,26;;1;1010030005;;;;;;
109;PAINEL LAJE-L-120X54;1;;10;;S;301009;301009;3;NEO202601288b8c;
109.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 1180MM";2;118 CM;3,2096 KG;3010010210;;;;;;
109.1.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";1,18;;1;1010020001;;;;;;
109.2;BARRA CHATA DE ALUMINIO LISA C/ ENCAIXE X 540MM;2;54 CM;1,4688 KG;;CS F;301001;301001;3;NEO20260128694a;5,48 CM
109.2.1;BARRA CHATA DE ALUMÍNIO LISA C/ ENCAIXE 6000MM;0,54;;1;1010020004;;;;;;
109.3;CHAPA DE ALUMINIO 5052 H34  #4,00MM 1190 X 540MM;1;54 CM;6,94008 KG;;CG C;301014;301014;3;NEO20260128be18;119 CM
109.3.1;CHAPA DE ALUMÍNIO 5052 H34 1500 X 3000 #4,00MM;0,54;;1;1010010004;;;;;;
