NIVEL;DESCRIÇÃO ITEM;QUANTIDADE ITEM;COMPRIMENTO;PESO ITEM;CÓDICO ITEM;PROCESSOS;MASCARA ENTRADA;MASCARA SAÍDA;NATUREZA;HASH;LARGURA
75.3;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 70MM";8;7 CM;0,77248 KG;3010010492;;;;;;
75.3.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,07;;1;1010020001;;;;;;
76;PAINEL DE CICLO-PC-60X10;2;;4;3010080056;;;;;;
76.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 600MM;2;60 CM;4,716 KG;3010110346;;;;;;
76.1.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 6000MM;0,6;;1;1010030006;;;;;;
76.2;"BARRA CHATA DE ALUMÍNIO LISA 3"" X 3/8"" X 70MM";4;7 CM;0,55948 KG;3010010491;;;;;;
76.2.1;"BARRA CHATA DE ALUMÍNIO LISA 2"" X 3/8"" X 6000MM";0,07;;1;1010020003;;;;;;
76.3;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 70MM";4;7 CM;0,38624 KG;3010010492;;;;;;
76.3.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,07;;1;1010020001;;;;;;
77;PAINEL DE CICLO-PC-32X10;1;;1;3010080095;;;;;;
77.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 320MM;1;32 CM;1,2576 KG;3010110350;;;;;;
77.1.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 6000MM;0,32;;1;1010030006;;;;;;
77.2;"BARRA CHATA DE ALUMÍNIO LISA 3"" X 3/8"" X 70MM";2;7 CM;0,27974 KG;3010010491;;;;;;
77.2.1;"BARRA CHATA DE ALUMÍNIO LISA 2"" X 3/8"" X 6000MM";0,07;;1;1010020003;;;;;;
77.3;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 70MM";2;7 CM;0,19312 KG;3010010492;;;;;;
77.3.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,07;;1;1010020001;;;;;;
78;PAINEL DE CICLO-PC-30X10;1;;1;3010080014;;;;;;
78.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 300MM;1;30 CM;1,179 KG;3010110112;;;;;;
78.1.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 6000MM;0,3;;1;1010030006;;;;;;
78.2;"BARRA CHATA DE ALUMÍNIO LISA 3"" X 3/8"" X 70MM";2;7 CM;0,27974 KG;3010010491;;;;;;
78.2.1;"BARRA CHATA DE ALUMÍNIO LISA 2"" X 3/8"" X 6000MM";0,07;;1;1010020003;;;;;;
78.3;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 70MM";2;7 CM;0,19312 KG;3010010492;;;;;;
78.3.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,07;;1;1010020001;;;;;;
79;PAINEL DE CICLO-PC-29X10;1;;1;;S;301008;301008;3;NEO20260128e8f2;
79.1;PERFIL DE ALUMINIO PAINEL DE CICLO 100 X 290MM;1;29 CM;1,1397 KG;;CS F;301031;301031;3;NEO202601283870;10 CM
79.1.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 6000MM;0,29;;1;1010030006;;;;;;
79.2;"BARRA CHATA DE ALUMÍNIO LISA 3"" X 3/8"" X 70MM";2;7 CM;0,27974 KG;3010010491;;;;;;
79.2.1;"BARRA CHATA DE ALUMÍNIO LISA 2"" X 3/8"" X 6000MM";0,07;;1;1010020003;;;;;;
79.3;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 70MM";2;7 CM;0,19312 KG;3010010492;;;;;;
79.3.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,07;;1;1010020001;;;;;;
80;PAINEL DE CICLO-PC-240X10;4;;3;3010080013;;;;;;
80.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 2400MM;4;240 CM;1,179 KG;3010110111;;;;;;
80.1.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 6000MM;2,4;;1;1010030006;;;;;;
80.2;"BARRA CHATA DE ALUMÍNIO LISA 3"" X 3/8"" X 70MM";4;7 CM;0,55948 KG;3010010491;;;;;;
80.2.1;"BARRA CHATA DE ALUMÍNIO LISA 2"" X 3/8"" X 6000MM";0,07;;1;1010020003;;;;;;
80.3;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 70MM";24;7 CM;2,31744 KG;3010010492;;;;;;
80.3.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,07;;1;1010020001;;;;;;
81;PAINEL  DE CICLO-PC-224X10;1;;1;3010080012;;;;;;
81.1;"BARRA CHATA DE ALUMÍNIO LISA 3"" X 3/8"" X 70MM";1;7 CM;0,13987 KG;3010010491;;;;;;
81.1.1;"BARRA CHATA DE ALUMÍNIO LISA 2"" X 3/8"" X 6000MM";0,07;;1;1010020003;;;;;;
81.2;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 70MM";6;7 CM;0,57936 KG;3010010492;;;;;;
81.2.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,07;;1;1010020001;;;;;;
81.3;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 2240MM;1;224 CM;1,179 KG;3010110110;;;;;;
81.3.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 6000MM;2,24;;1;1010030006;;;;;;
82;PAINEL DE CICLO-PC-182X10;2;;15;3010080027;;;;;;
82.1;PERFIL DE ALUMINIO PAINEL DE CICLO 100 X 1820MM;2;182 CM;14,3052 KG;;CS F;301031;301031;3;NEO20260128560e;10 CM
82.1.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 6000MM;1,82;;1;1010030006;;;;;;
82.2;"BARRA CHATA DE ALUMÍNIO LISA 3"" X 3/8"" X 70MM";4;7 CM;0,55948 KG;3010010491;;;;;;
82.2.1;"BARRA CHATA DE ALUMÍNIO LISA 2"" X 3/8"" X 6000MM";0,07;;1;1010020003;;;;;;
82.3;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 70MM";12;7 CM;1,15872 KG;3010010492;;;;;;
82.3.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,07;;1;1010020001;;;;;;
83;PAINEL DE CICLO-PC-164X10;1;;6;3010080098;;;;;;
83.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 1640MM;1;164 CM;6,4452 KG;3010116490;;;;;;
83.1.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 6000MM;1,64;;1;1010030006;;;;;;
83.2;"BARRA CHATA DE ALUMÍNIO LISA 3"" X 3/8"" X 70MM";2;7 CM;0,27974 KG;3010010491;;;;;;
83.2.1;"BARRA CHATA DE ALUMÍNIO LISA 2"" X 3/8"" X 6000MM";0,07;;1;1010020003;;;;;;
83.3;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 70MM";6;7 CM;0,57936 KG;3010010492;;;;;;
83.3.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,07;;1;1010020001;;;;;;
84;PAINEL DE CICLO-PC-146X10;1;;5;3010080025;;;;;;
84.1;PERFIL DE ALUMINIO PAINEL DE CICLO 100 X 1460MM;1;146 CM;5,7378 KG;;CS F;301031;301031;3;NEO202601282cce;10 CM
84.1.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 6000MM;1,46;;1;1010030006;;;;;;
84.2;"BARRA CHATA DE ALUMÍNIO LISA 3"" X 3/8"" X 70MM";2;7 CM;0,27974 KG;3010010491;;;;;;
84.2.1;"BARRA CHATA DE ALUMÍNIO LISA 2"" X 3/8"" X 6000MM";0,07;;1;1010020003;;;;;;
84.3;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 70MM";6;7 CM;0,57936 KG;3010010492;;;;;;
84.3.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,07;;1;1010020001;;;;;;
85;PAINEL DE CICLO-PC-145X10;2;;12;3010080087;;;;;;
85.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 1450MM;2;145 CM;11,397 KG;3010115912;;;;;;
85.1.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 6000MM;1,45;;1;1010030006;;;;;;
85.2;"BARRA CHATA DE ALUMÍNIO LISA 3"" X 3/8"" X 70MM";4;7 CM;0,55948 KG;3010010491;;;;;;
85.2.1;"BARRA CHATA DE ALUMÍNIO LISA 2"" X 3/8"" X 6000MM";0,07;;1;1010020003;;;;;;
85.3;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 70MM";12;7 CM;1,15872 KG;3010010492;;;;;;
85.3.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,07;;1;1010020001;;;;;;
86;PAINEL DE CICLO-PC-125X10;1;;4;3010080122;;;;;;
86.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 1250MM;1;125 CM;4,9125 KG;3010116588;;;;;;
86.1.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 6000MM;1,25;;1;1010030006;;;;;;
86.2;"BARRA CHATA DE ALUMÍNIO LISA 3"" X 3/8"" X 70MM";2;7 CM;0,27974 KG;3010010491;;;;;;
86.2.1;"BARRA CHATA DE ALUMÍNIO LISA 2"" X 3/8"" X 6000MM";0,07;;1;1010020003;;;;;;
86.3;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 70MM";6;7 CM;0,57936 KG;3010010492;;;;;;
86.3.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,07;;1;1010020001;;;;;;
87;PAINEL DE CICLO-PC-119X10;4;;20;3010080106;;;;;;
87.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 1190MM;4;119 CM;18,7068 KG;3010116516;;;;;;
87.1.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 6000MM;1,19;;1;1010030006;;;;;;
87.2;"BARRA CHATA DE ALUMINIO LISA 3"" X 3/8"" X 71MM";8;7,1 CM;1,11896 KG;;CS F;301001;301001;3;NEO20260128f09e;7,62 CM
87.2.1;"BARRA CHATA DE ALUMÍNIO LISA 2"" X 3/8"" X 6000MM";0,07;;1;1010020003;;;;;;
87.3;"BARRA CHATA DE ALUMINIO C/ DENTE 2"" X 3/8"" X 71MM";16;7,1 CM;1,54496 KG;;CS F;301001;301001;3;NEO20260128d299;5,08 CM
87.3.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,07;;1;1010020001;;;;;;
88;PAINEL DE CICLO-PC-115X10;1;;4;3010080060;;;;;;
88.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 1150MM;1;115 CM;4,5195 KG;3010111787;;;;;;
88.1.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 6000MM;1,15;;1;1010030006;;;;;;
88.2;"BARRA CHATA DE ALUMÍNIO LISA 3"" X 3/8"" X 70MM";2;7 CM;0,27974 KG;3010010491;;;;;;
88.2.1;"BARRA CHATA DE ALUMÍNIO LISA 2"" X 3/8"" X 6000MM";0,07;;1;1010020003;;;;;;
88.3;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 70MM";4;7 CM;0,38624 KG;3010010492;;;;;;
88.3.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,07;;1;1010020001;;;;;;
89;CANTO INTERNO-CI-12X150X10;5;;111;3010050114;;;;;;
89.1;PERFIL DE ALUMINIO PAREDE FEMEA 300 X 1500MM;5;150 CM;36,15 KG;;CS F C;301011;301011;3;NEO202601283fb2;11,6 CM
89.1.1;PERFIL DE ALUMÍNIO PAREDE FEMEA 300 X 2450MM;1,5;;1;1010030002;;;;;;
89.2;"BARRA CHATA DE ALUMINIO C/ DENTE 2"" X 3/8"" X 104MM";10;10,4 CM;4,2432 KG;;CS F;301001;301001;3;NEO202601283a25;5,08 CM
89.2.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,1;;1;1010020001;;;;;;
89.3;"BARRA CHATA DE ALUMINIO C/ DENTE 2"" X 3/8"" X 47MM";10;4,7 CM;1;;CS F;301001;301001;3;NEO202601283715;5,08 CM
89.3.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,04;;1;1010020001;;;;;;
89.4;CHAPA DE ALUMINIO 5052 H34  #4,00MM 100 X 1500MM;5;150 CM;70,5024 KG;;CG C;301014;301014;3;NEO202601288efb;10 CM
89.4.1;CHAPA DE ALUMÍNIO 5052 H34 1500 X 3000 #4,00MM;1,5;;1;1010010004;;;;;;
90;CANTO INTERNO-CI-10X112X10;5;;100;3010050368;;;;;;
90.1;PERFIL DE ALUMINIO PAREDE FEMEA 300 X 1100MM;5;110 CM;26,51 KG;;CS F C;301011;301011;3;NEO20260128cf04;11,6 CM
90.1.1;PERFIL DE ALUMÍNIO PAREDE FEMEA 300 X 2450MM;1,1;;1;1010030002;;;;;;
90.2;"BARRA CHATA DE ALUMINIO C/ DENTE 2"" X 3/8"" X 104MM";10;10,4 CM;3,536 KG;;CS F;301001;301001;3;NEO202601283a25;5,08 CM
90.2.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,1;;1;1010020001;;;;;;
90.3;"BARRA CHATA DE ALUMINIO C/ DENTE 2"" X 3/8"" X 47MM";10;4,7 CM;1;;CS F;301001;301001;3;NEO202601283715;5,08 CM
90.3.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,04;;1;1010020001;;;;;;
90.4;PERFIL DE ALUMINIO PAREDE MACHO 300 X 1100MM;5;110 CM;70,5024 KG;;CS F C;301011;301011;3;NEO202601289311;10 CM
90.4.1;PERFIL DE ALUMÍNIO PAREDE MACHO 300 X 2450MM;1,1;;1;1010030001;;;;;;
91;PAINEL PEITORIL-PP-60X115;12;;190;;S;301004;301004;3;NEO20260128ec8d;
91.1;PERFIL DE ALUMINIO PAREDE FEMEA 300 X 1150MM;12;115 CM;66,516 KG;;CS F C;301011;301011;3;NEO20260128c53c;30 CM
